=== ORIGINAL PROMPT AUDIT ===
Section,Severity,Category,Location,Problem,Rewrite
FINDING,HIGH,SUBJECTIVE_JARGON,"""the cheapest call of duty game you can find""","""Cheapest"" is ambiguous without a defined data source, time context, or market scope — the AI cannot reliably calculate a real-time price and may hallucinate a value or cite stale pricing data as current fact.","""Search [specified source, e.g., Steam, Amazon] for Call of Duty titles sorted by current price ascending, and return the lowest-priced result available today."""
FINDING,HIGH,LITERAL_TRAPS,"""black ops 4 or modern warfare 2""","Game titles have multiple official naming variants (e.g., ""Call of Duty: Black Ops 4,"" ""Black Ops IV,"" ""COD BO4""; ""Modern Warfare 2,"" ""MW2,"" ""Modern Warfare II,"" ""Call of Duty: Modern Warfare 2 (2022)"" vs. the original 2009 release) — a string-match exclusion on only the stated forms could silently fail to exclude all variants, including both the 2009 and 2022 versions of Modern Warfare 2.","""Exclude any results matching the following titles or their known variants: 'Call of Duty: Black Ops 4' (also listed as Black Ops IV or BO4), 'Call of Duty: Modern Warfare 2' (both the 2009 and 2022 releases, also listed as MW2 or Modern Warfare II)."""
FINDING,MEDIUM,SOURCE_DATA_ISSUES,"""you can find""","The instruction provides no defined data source or search scope, creating a logical gap — the AI has no authoritative, bounded dataset to query and may fabricate availability or pricing from training data rather than live market data.","""Search the following sources for current pricing: [list specific platforms or APIs, e.g., Steam Store, CDKeys, Humble Bundle]. Return only results with a verifiable current price."""
FINDING,LOW,STRUCTURAL_FORMATTING,"""Show me the cheapest call of duty game you can find.""","The output format is entirely unspecified — the agent may return a paragraph of prose, a single title, a price list, or a recommendation with justification, with no way to determine which is correct behavior.","""Return a single result in this format — Title: [full official title] | Platform: [platform name] | Price: [current price] | Source: [URL or store name]."""
SUMMARY,,,,"This short prompt contains several compounding issues that could lead to silent failures or hallucinated data. The most critical risks are the lack of a bounded, real-time data source (meaning any price returned may be fabricated or outdated) and the underspecified exclusion list for game titles, which uses informal naming that could fail to match official or variant store listings — particularly dangerous given that ""Modern Warfare 2"" refers to two distinct games released 13 years apart. The absence of output format instructions and the vague ""you can find"" scope further increase the likelihood of inconsistent or unreliable agent behavior.",

SCORE SUMMARY,High Findings,Medium Findings,Low Findings,Total Findings,Confidence Score,Grade
,2,1,1,4,65/100,MODERATE RISK

AUDITED PROMPT,,,,Show me the cheapest call of duty game you can find. I just don't want black ops 4 or modern warfare 2.,

=== HARDENED REWRITE ===
REWRITTEN PROMPT,,,,"Search the Steam Store, Amazon, and CDKeys for Call of Duty titles currently available for purchase, sorted by price ascending. Return the single lowest-priced result available today.

Exclude any results matching the following titles or their known variants:
- ""Call of Duty: Black Ops 4"" (also listed as Black Ops IV or BO4)
- ""Call of Duty: Modern Warfare 2"" in any release — this includes both the original 2009 release and the 2022 release, and any listing using the names MW2, Modern Warfare II, or Modern Warfare 2 (2022)

Do not include any result whose price cannot be verified as a current, active listing on one of the specified platforms. Do not infer or estimate pricing from training data.

Return the result in exactly this format:
Title: [full official title] | Platform: [platform name] | Price: [current price in USD] | Source: [store name or URL]",

=== VERIFICATION AUDIT (rewrite re-audited) ===
Section,Severity,Category,Location,Problem,Rewrite
FINDING,HIGH,SUBJECTIVE_JARGON,"""currently available for purchase, sorted by price ascending""","The agent cannot actually perform live web searches or access real-time store data unless given explicit tool access. ""Currently available"" implies real-time lookup, but this is not operationally defined — the agent has no verified mechanism to retrieve live pricing, and the instruction is written as if it can, creating a hallucination risk where the agent fabricates a plausible-sounding result.","Add an explicit tool invocation step: ""Use the [Search Tool / Browser Tool] to query Steam Store, Amazon, and CDKeys in real time. If any store cannot be queried, exclude it and note this in your response."""
